"STPSxx-SPCT Inductif_31029_20190507_093827.csv"
"Claire Julien Lafosse"
"sn :";31029
"Cadence d'enregistrement :";"3600 s"

Date;"Température (-5 +35°C) (øC)";"Profondeur 30m (m)";"Conductivité (g/l)"
"26/04/2019 04:00:00";14,85;0,82;34,45
"26/04/2019 05:00:00";14,81;0,84;34,45
"26/04/2019 06:00:00";14,77;0,84;34,45
"26/04/2019 07:00:00";14,73;0,86;34,45
"26/04/2019 08:00:00";14,68;0,86;34,46
"26/04/2019 09:00:00";14,62;0,87;34,46
"26/04/2019 10:00:00";14,56;0,89;34,44
"26/04/2019 11:00:00";14,48;0,90;34,43
"26/04/2019 12:00:00";14,40;0,89;34,42
"26/04/2019 13:00:00";14,34;0,89;34,40
"26/04/2019 14:00:00";14,30;0,88;34,37
"26/04/2019 15:00:00";14,27;0,89;34,35
"26/04/2019 16:00:00";14,25;0,88;34,33
"26/04/2019 17:00:00";14,26;0,88;34,35
"26/04/2019 18:00:00";14,28;0,88;34,36
